Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025 +Older",grouptype,groupuid
-SHRI PHARMA - NASHIK,SUSPENCE A/C,            6958.15,             500.00,            2000.00,               0.00,               0.00,            3958.15,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI PHARMA-NANDED-ELDER,SUSPENCE A/C,            7952.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7952.00,Detai,2541934124
-SHRI PHARMA-VASAI,SUSPENCE A/C,           11025.00,               0.00,               0.00,           11025.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI RAM CORPORATION - DHULE XX,SUSPENCE A/C,            2000.00,               0.00,               0.00,             500.00,               0.00,               0.00,            1000.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI RENUKA MEDICAL - MIRAJ-XX,SUSPENCE A/C,            2000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2000.00,Detai,2541934124
-SHRI SACCHIDINAND-PARBHANI-(AKUMS),SUSPENCE A/C,            3254.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3254.00,Detai,2541934124
-SHRI SAIBABA TRUST - SHIRDI(25-26),SUSPENCE A/C,        -1541870.00,         -815649.00,               0.00,               0.00,               0.00,               0.00,               0.00,         -726221.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI SAIBABA TRUST - SHIRDI(DONATION),SUSPENCE A/C,          782500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          782500.00,Detai,2541934124
-SHRI SAINATH PHARMA-NANDED-ELDER,SUSPENCE A/C,            4032.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4032.00,Detai,2541934124
-SHRI SAMARTH GENERICSS - JATH XX,SUSPENCE A/C,            6500.00,               0.00,               0.00,            2000.00,             500.00,            2500.00,            1500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI SAMARTH PHARMA - NASHIK,SUSPENCE A/C,            1000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,             500.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI SATGURU MEDICAL - NAGPUR,SUSPENCE A/C,            3614.80,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3614.80,               0.00,               0.00,Detai,2541934124
