Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025+Older",grouptype,groupuid
1 BHIWANDI STAFF,1 BHIWANDI STAFF,            8425.00,            8425.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3366566778
-..NEW CODE CHALLAN BILLS,1 BHIWANDI STAFF,            8425.00,            8425.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3366566778
1ARCHANA (MIS),1ARCHANA (MIS),        13560978.00,               0.00,         1217402.00,         2231862.00,          441002.00,           10993.00,           83791.00,           -9133.00,          201206.00,            6035.00,               0.00,            9371.00,         9368449.00,Group,2626320256
-ABDULLA (RD),1ARCHANA (MIS),           89800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           89800.00,Detai,2626320256
-ADD ON SAFETY & SURIGICALS PVT LTD-MULUND,1ARCHANA (MIS),           37800.00,               0.00,               0.00,           37800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ALAK HEALTH CARE PVT LTD-GUJARAT,1ARCHANA (MIS),            6734.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4579.00,               0.00,               0.00,             209.00,            1946.00,Detai,2626320256
-ALTIUZ PHARMACY-MALAD-X,1ARCHANA (MIS),           21308.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21308.00,Detai,2626320256
-AMARI TRADE ALLIANCE LLP-LOWER PAREL,1ARCHANA (MIS),          273008.00,               0.00,          228500.00,           42945.00,               0.00,             670.00,               0.00,             893.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-AMBICA PHARMA (JOHNLEE)-SALE-BHIWANDI,1ARCHANA (MIS),          474075.00,               0.00,          128100.00,          345975.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ARUSH ENT - SHRIRAMPUR,1ARCHANA (MIS),            2937.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2937.00,Detai,2626320256
-AVENUE PHARMA-PEN -XX,1ARCHANA (MIS),           46515.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           46515.00,Detai,2626320256
-BIO PHARMA PRIMO IMPEX - JAIPUR,1ARCHANA (MIS),            9660.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            9660.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-BRIX MEDIC-DADAR,1ARCHANA (MIS),           14184.00,               0.00,            7776.00,            6408.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-CHANDRA BHAGAT PHARMA LIMITED-MUMBAI,1ARCHANA (MIS),           72218.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             538.00,           71680.00,Detai,2626320256
-DISTINCT IMPEX PVT LTD -DAHISAR,1ARCHANA (MIS),          -19687.00,               0.00,               0.00,               0.00,               0.00,               0.00,           -1575.00,          -18112.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ELITE DRUG - KOPARKHAIRANE-LN,1ARCHANA (MIS),          120891.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          120891.00,Detai,2626320256
-EURO BIOM - DELHI,1ARCHANA (MIS),           67187.00,               0.00,           50197.00,               0.00,            4498.00,           12492.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-EXSELL LAB - THANE,1ARCHANA (MIS),           23625.00,               0.00,               0.00,           23625.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-GENRICPLUS PHARMA-KALHER (SKYOGEN),1ARCHANA (MIS),           10313.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10313.00,Detai,2626320256
-GRAMEEN PHARMA LLP - OPERA HOUSE,1ARCHANA (MIS),          118567.00,               0.00,           -1680.00,          120247.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-GRD LIFE-SCIENCES PUNE -XX,1ARCHANA (MIS),           11895.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11895.00,Detai,2626320256
-GURUKRUPA AGENCY - JALNA-XX,1ARCHANA (MIS),           13351.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           13351.00,Detai,2626320256
-HEALTHY INC - ANDHERI,1ARCHANA (MIS),          508032.00,               0.00,          208032.00,               0.00,          300000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-INFUGEN LIFE SCIENCES PVT.LTD. - BHIWANDI,1ARCHANA (MIS),           68250.00,               0.00,               0.00,               0.00,               0.00,               0.00,           68250.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-INFUGEN PHARMA -SALE,1ARCHANA (MIS),           15893.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            -379.00,               0.00,            2688.00,           13584.00,Detai,2626320256
-JAY SHAH (SUDAN),1ARCHANA (MIS),           81686.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           81686.00,Detai,2626320256
-JMB PHARMA-MULUND,1ARCHANA (MIS),           17745.00,               0.00,               0.00,           17745.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-KEITA PHARMA PVT.LTD.- MAHAPE,1ARCHANA (MIS),          136500.00,               0.00,               0.00,               0.00,          136500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-KUNDE MEDICAL -SINNAR-XX,1ARCHANA (MIS),           29974.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29974.00,Detai,2626320256
-LIFE CARE PHARMA - PALI-XX,1ARCHANA (MIS),            1408.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1408.00,Detai,2626320256
-M.S.PHARMA (EXPORT) - DAWA BAZAR,1ARCHANA (MIS),          169427.00,               0.00,               0.00,             -15.00,               0.00,               0.00,               0.00,               0.00,          169442.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-MAP CHEM - SANTACRUZ          .,1ARCHANA (MIS),            2625.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2625.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-MATOSHREE HEALTHCARE - CHIRA BAZAR,1ARCHANA (MIS),            5303.00,               0.00,               0.00,            5303.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-MEDEX PHARMACEUTICALS-THIRUVATTAR,1ARCHANA (MIS),           95477.00,               0.00,           14175.00,           81302.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-MEDIGEN PHARMA-ANDHERI,1ARCHANA (MIS),           24581.00,               0.00,           16647.00,               0.00,               0.00,               0.00,            4316.00,               0.00,               0.00,            1098.00,               0.00,            2520.00,               0.00,Detai,2626320256
-MEDITRUST UNIVERSAL-MUMBAI-02,1ARCHANA (MIS),           12449.00,               0.00,               0.00,           12449.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-MEHADIA TRADELINKS-GOREGAON,1ARCHANA (MIS),          329188.00,               0.00,          133875.00,          195313.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-MODERN DRUG HOUSE-ELIPHSTONE,1ARCHANA (MIS),          207900.00,               0.00,               0.00,          207900.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-NAMAN PHARMA DRUGS - PR STR,1ARCHANA (MIS),           16800.00,               0.00,           16800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-NEXUS LIFECARE PVT LTD-WADALA,1ARCHANA (MIS),           17010.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17010.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-NOVO MEDI SCIENCES PVT.LTD-KAMOTHE,1ARCHANA (MIS),            3255.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3255.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ORBIT IMPEX - BHIWANDI,1ARCHANA (MIS),            5045.00,               0.00,               0.00,            5045.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-PRAHEM LABORATORIES LLP-GHATKOPAR,1ARCHANA (MIS),          239008.00,               0.00,          146117.00,           90474.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2417.00,               0.00,               0.00,               0.00,Detai,2626320256
-RBN MEDITECH - PUNE (dont open),1ARCHANA (MIS),           64776.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           64776.00,Detai,2626320256
-REGAL SALES AGENCIES -  VASAI,1ARCHANA (MIS),            4265.00,               0.00,               0.00,             315.00,               0.00,             246.00,             805.00,               0.00,               0.00,            2899.00,               0.00,               0.00,               0.00,Detai,2626320256
-RMPL PHARMA LLP (SALE) - MARINE LINES,1ARCHANA (MIS),           -2415.00,               0.00,               0.00,               0.00,               0.00,           -2415.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ROYAL MEDICAL (SALE) - ASAN,1ARCHANA (MIS),          192091.00,               0.00,               0.00,          192087.00,               4.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-S.HIMATLAL HEALTHCARE LLP (SALE),1ARCHANA (MIS),          483054.00,               0.00,           71978.00,          411076.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-SAI SHRADDHA ENTERPRISES-KOPARKHAIRANE,1ARCHANA (MIS),           20448.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           20448.00,Detai,2626320256
-SATNAM HEALTH-AMBERNATH (KAMLESH)-XX,1ARCHANA (MIS),           33058.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           33058.00,Detai,2626320256
-SHIV KRUPA - PUNE - XX,1ARCHANA (MIS),          210834.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          210834.00,Detai,2626320256
-SHIVANSH HEALTHCARE - KALYAN,1ARCHANA (MIS),          -11853.00,               0.00,               0.00,          -11853.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-SHRI KRISHNA LIFECARE-MULUND,1ARCHANA (MIS),            3416.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3416.00,               0.00,Detai,2626320256
-SHRI SAIBABA TRUST - SHIRDI(24-25),1ARCHANA (MIS),          269307.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          269307.00,Detai,2626320256
-SIDDHIVINAYAK (TENDER)- NAGPUR,1ARCHANA (MIS),            4153.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4153.00,Detai,2626320256
-SKYOGEN HEALTHCARE LTD-KALBADEVI ROAD,1ARCHANA (MIS),          447720.00,               0.00,               0.00,          447720.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-SPECIALITY MEDICINES-ANDHERI,1ARCHANA (MIS),           11996.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11996.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-SR FARMALIFE - VASAI,1ARCHANA (MIS),            2205.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2205.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-SUSPENCE A/C,1ARCHANA (MIS),         8055347.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,         8055347.00,Detai,2626320256
-SWAMI SAMARTH - AHILYANAGAR -XX,1ARCHANA (MIS),           28826.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           28826.00,Detai,2626320256
-THE ASHOK (ORIGINAL) - AKOLA (SALE),1ARCHANA (MIS),           10304.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10304.00,Detai,2626320256
-USHMA JITENDRA ISHWARLAL A/C,1ARCHANA (MIS),            7841.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7841.00,Detai,2626320256
-VAMA HEALTHWORLD LLP - PAREL,1ARCHANA (MIS),           57330.00,               0.00,           57330.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-VAMA LIFECARE PVT.LTD.-PAREL,1ARCHANA (MIS),           56701.00,               0.00,           56700.00,               1.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-VEA IMPEX - DAHISAR,1ARCHANA (MIS),              -1.00,               0.00,               0.00,               0.00,               0.00,               0.00,              -1.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-VEDANT PHARMA-KURLA-XX,1ARCHANA (MIS),           17430.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17430.00,Detai,2626320256
-VIRAJ DISTRIBUTORS-KILLARI-XX-C/B,1ARCHANA (MIS),           72826.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           72826.00,Detai,2626320256
-VIVI LIFE CARE LLP - RABALE,1ARCHANA (MIS),           43565.00,               0.00,           43565.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-XXXX APEX PHARMA - MANMAD-XX,1ARCHANA (MIS),           10884.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10884.00,Detai,2626320256
-XXXX PP HEALTHCARE-BHAYANDER-XR,1ARCHANA (MIS),            1000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1000.00,Detai,2626320256
-XXXX SACHIN PHARMA - SHIRUR,1ARCHANA (MIS),           17464.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17464.00,Detai,2626320256
-XXXX SANDEEP MEDICAL AGENCIES-MALEGAON-XR,1ARCHANA (MIS),            5778.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5778.00,Detai,2626320256
-XXXX SHRADDHA DISTRIBUTORS-WADALA,1ARCHANA (MIS),           20885.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           20885.00,Detai,2626320256
-YUGROW PHARMACY LLP - BHIWANDI,1ARCHANA (MIS),           39290.00,               0.00,           39290.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ZYMETH PHARMACEUTICALS PVT LTD,1ARCHANA (MIS),             515.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             515.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-xJAY (CASH)(OLD),1ARCHANA (MIS),               1.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               1.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
1ARVIND (MIS),1ARVIND (MIS),         9197474.73,          679163.00,         1449639.00,          715266.00,          780756.00,          198498.33,               0.00,           66081.00,           41703.00,            6355.00,            8477.37,               0.00,         5251536.03,Group,1806785167
-A D PHARMA - NAGPUR-LN,1ARVIND (MIS),           44242.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           44242.00,Detai,1806785167
-A TO Z PHARMA AGENCY - SILLOD,1ARVIND (MIS),           61593.00,               0.00,           44090.00,           17503.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-AJAY AGENCIES - YAVATMAL,1ARVIND (MIS),           26081.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           26081.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-AJAY MEDICAL-NAGPUR-LN,1ARVIND (MIS),           98796.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           98796.00,Detai,1806785167
-AKSHARA MEDICAL AGENCIES-AKOLA,1ARVIND (MIS),            2370.00,               0.00,            2370.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-AKSHIT PHARMA-PUSAD-X,1ARVIND (MIS),           88109.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           88109.00,Detai,1806785167
-ALKARIM MEDICAL & PHARMA - AMRAVATI,1ARVIND (MIS),           36725.00,               0.00,           29812.00,               0.00,            6913.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-AMBICA - PARATWADA,1ARVIND (MIS),          265305.00,               0.00,          148757.00,           11144.00,          105404.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-AMIT AGENCIES-PARLI VAIJNATH-AKUMS-XX,1ARVIND (MIS),           48918.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           48918.00,Detai,1806785167
-ARVIND SAI A S PHARMA-NAGPUR-LN,1ARVIND (MIS),           28887.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           28887.00,Detai,1806785167
-ASHIRWAD MEDICAL - GADCHIROLI,1ARVIND (MIS),           69150.00,               0.00,           53725.00,           15425.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-ATHARVA MEDI - NAGPUR (SALE),1ARVIND (MIS),          534505.00,          117374.00,           96786.00,          128429.00,          191916.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-AUM ENTERPRISES-AKOLA-XX,1ARVIND (MIS),            4353.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4353.00,Detai,1806785167
-AUSHADH-PUSAD,1ARVIND (MIS),           51364.00,               0.00,           13041.00,           17842.00,           20481.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-BAGDI MEDICO - YAVATMAL-OLD,1ARVIND (MIS),           10506.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10506.00,Detai,1806785167
-BALAJI PHARMA - PUSAD -XX,1ARVIND (MIS),           19569.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           19569.00,Detai,1806785167
-BHAGIRATHI MEDICAL - AMBEJOGAI-AKUMS-XX,1ARVIND (MIS),           64524.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           64524.00,Detai,1806785167
-CDS PHARMA - NAGPUR-XX,1ARVIND (MIS),          138545.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          138545.00,Detai,1806785167
-CHOUDHARI TRADERS-AMRAVATI,1ARVIND (MIS),           17842.00,               0.00,           17842.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-CITY DRUG HOUSE - NAGPUR,1ARVIND (MIS),          163486.00,               0.00,           58519.00,           25375.00,           79592.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-COGNYS LIFE SCIENCE - NAGPUR,1ARVIND (MIS),           92571.00,               0.00,           41315.00,           15844.00,           35412.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-D.A.B PHARMA-NANDED,1ARVIND (MIS),           12613.00,               0.00,               0.00,               0.00,           12613.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-D.B.PHARMACEUTICAL - NAGPUR-LN,1ARVIND (MIS),          287752.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          287752.00,Detai,1806785167
-DEEPALI MEDICAL AGENCIES-WARUD,1ARVIND (MIS),            8921.00,               0.00,            8921.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-DHANASHRI PHARMA - UMRED-XX,1ARVIND (MIS),           31565.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           31565.00,Detai,1806785167
-DHANWANTARI MEDICAL - CHANDRAPUR-XX-LN,1ARVIND (MIS),           16128.82,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           16128.82,Detai,1806785167
-DILIP AGENCIES - NAGPUR,1ARVIND (MIS),          232219.00,           43413.00,          188806.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-DIPTI PHARMA - JALNA,1ARVIND (MIS),            1000.00,               0.00,               0.00,            1000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-FIRST PHARMACY-NAGPUR,1ARVIND (MIS),           36322.00,               0.00,           24182.00,           12140.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-FRONT LINE PHARMA - NAGPUR -XX,1ARVIND (MIS),           34955.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           34955.00,Detai,1806785167
-GOURI AGENCIES - AMRAVATI,1ARVIND (MIS),            7094.00,            7094.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-GURUKRUPA AGENCY - JALNA-XX,1ARVIND (MIS),           28983.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           28983.00,Detai,1806785167
-HARI OM MEDICOSE - AMGAON -XX,1ARVIND (MIS),            7501.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7501.00,Detai,1806785167
-HI-TECH PHARMA - LATUR,1ARVIND (MIS),           17001.00,           17001.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-I-ON CARE PHARMA - NAGPUR  -XX,1ARVIND (MIS),            8288.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8288.00,Detai,1806785167
-INFINITY PHARMEX - NAGPUR,1ARVIND (MIS),          389049.00,          203100.00,           59899.00,          126050.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-J K PHARMACEUTICALS - BHANDARA,1ARVIND (MIS),            2100.00,               0.00,            2100.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-JAI JHOOLEY PHARMA-NAGPUR-LN,1ARVIND (MIS),           74017.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           74017.00,Detai,1806785167
-JAI SHANKAR - KHAMGAON,1ARVIND (MIS),           15203.00,               0.00,           11179.00,            4024.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-JALARAM MEDICO AGENCIES-GONDPIPARI,1ARVIND (MIS),           40541.00,               0.00,               0.00,           17842.00,               0.00,           22699.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-JAY MEDICAL AGENCY - BULDANA,1ARVIND (MIS),             553.00,             553.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-JAYESH PHARMASURE - AMRAVATI,1ARVIND (MIS),           38662.00,           14420.00,               0.00,           24242.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-JOVIAL PHARMACEUTICALS - NAGPUR,1ARVIND (MIS),            7404.00,               0.00,            2933.00,            4471.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-K K SURGICAL & DISTRIBUTORS - JALNA-XX,1ARVIND (MIS),           50526.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           50526.00,Detai,1806785167
-K.K.PHARMA-BULDANA,1ARVIND (MIS),           36843.00,               0.00,           27922.00,               0.00,            8921.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-KALINGA PHARMACEUTICALS- BHANDARA,1ARVIND (MIS),           21315.00,           21315.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,1806785167
-L.R.SURGICAL-NAGPUR-XX,1ARVIND (MIS),            3982.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3982.00,Detai,1806785167
