Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025+Older",grouptype,groupuid
AALTOP HEALTHCARE PVT LTD - THANE,           16800.00,               0.00,               0.00,           16800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3443649758
AANYA GLOBAL - DAHISAR,          357000.00,          357000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2399464562
AARADHYA DISTRIBUTORS - JALNA,           46424.00,           25518.00,               0.00,           20906.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3431267958
AAROGYAM MEDICAL SUPPLIES - SION,           32853.00,               0.00,            9656.00,               0.00,           23197.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,170635623
AAROGYAM PHARMA-PUNE (CHAKAN),          264928.00,           54226.00,           99857.00,          110845.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,448854724
AARUSHI MEDICAL STORES - PATHARDI XX,           65850.00,               0.00,            4500.00,            2500.00,               0.00,             500.00,            1500.00,           52412.00,               0.00,            4438.00,               0.00,               0.00,               0.00,Group,213903027
AARVI PHARMA - PALGHAR,           53197.00,            6910.00,           20684.00,           25603.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3279660977
AARYAN AGENCY-GTB NAGAR-X,           65393.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           65393.00,Group,3813772000
AASTER PHARMA-KOPARKHAIRANE,          171607.00,           66955.00,           77580.00,           27072.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,806386169
AASTHA PHARMA-KALYAN,           71095.00,           31644.00,           11197.00,           19090.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1071.00,            8093.00,               0.00,Group,1055664318
ABDULLA (RD),          649261.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          649261.00,Group,1843674308
ABHA PHARMA - NALASOPARA,            6930.00,            6930.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,936954448
ABHIJEET - WATEGAON,           14109.00,           14109.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1428415406
ABHIJIT ENT - VASAI,           69111.00,           29083.00,           24531.00,           15497.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2763766955
ABHINAV PHARMA - NAGPUR,           44122.00,           34387.00,            9735.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2064715905
ABIRA BIO SCIENCES- PUNE,          157773.00,           62055.00,           45360.00,            9555.00,           39543.00,            1260.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2103308139
ACE PHARMA - CHANDRAPUR,           16439.00,           16439.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3194146573
ACME SALES - SOLAPUR,          158982.00,           58789.00,           64366.00,           36352.00,            -525.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3982564043
ADILIFE  - NALASOPARA,           37370.00,           37370.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,58050289
ADINATH DISTRIBUTORES - NAGPUR,          120733.00,            7182.00,           36497.00,           54820.00,           22234.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2337347431
ADITI DISTRIBUTORS - MULUND,          129451.00,           41967.00,           62558.00,           24926.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3181338191
ADITI PHARMA - THANE,           13542.00,            5376.00,               0.00,            8166.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2497133278
ADITI PHARMA - KHARGHAR X,           55013.36,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           20010.36,               0.00,           -4924.00,               0.00,           39927.00,Group,1242361324
ADITYA -GHATKOPAR (DAIPERS),           12524.00,               0.00,           12524.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1914269574
ADITYA AGENCIES - INDAPUR(PUNE),          187073.00,           87026.00,           57108.00,           42939.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3657630001
ADITYA BIRLA HEALTH SERVICES - CHINCHWAD,           26806.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6929.00,           19877.00,Group,3114127605
ADITYA DISTRIBUTORS - PARBHANI-C/B,            5000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5000.00,Group,494827815
ADITYA PHARMACEUTICALS - NANDED,            9422.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5245.00,            4177.00,               0.00,Group,350441909
ADITYA PHARMA - AKOLA,            3031.00,            3031.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,883438
ADVIK ENTERPRISES - DAHISAR,           24150.00,               0.00,               0.00,               0.00,           24150.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,503113607
ADVIK PHARMA-VIKROLI,            5198.00,            5198.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3552203747
AGASTI PHARMA-AKOLE,          326555.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          326555.00,Group,2876006313
AHILYA PHARMA - LASALGAON,           19839.00,           11088.00,               0.00,            8751.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4077863487
AHIMSA - MALAD,            1301.00,            1301.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2995212542
AHUJA MEDICO - DHULE,           75777.00,               0.00,           34235.00,           17385.00,           24157.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,327044880
AHUJA PHARMA HOUSE - BHUSAWAL,           36849.00,           12617.00,           20170.00,               0.00,               0.00,            1169.00,               0.00,            2893.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2967218348
AIDLIFE PHARMA - WAKAD,           14700.00,               0.00,           14700.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,487774146
AISHWARYA LIFE - MAHIM,           20264.00,               0.00,           11550.00,            8714.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,211923862
AISHWARYA MARKETING - AMRAVATI,           68684.00,           35652.00,           29756.00,            3276.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3612255890
AJAY AGENCIES - YAVATMAL,            1337.63,               0.00,            1337.63,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3016023416
AJAY HEALTHCARE - KOPARKHAIRANE,           99461.00,           43942.00,           55519.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2104335624
AJAY MEDICAL-NAGPUR-LN,          103696.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          103696.00,Group,3339370341
AJOTA (SHAYAM),           50152.00,           50152.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3547080220
AK PHARMA - CHINCHWAD,            4829.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4829.00,Group,3072343460
AKABANI AGENCIES-KARANJA LAD-ELDER,           38739.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           38739.00,Group,466738684
