Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025 +Older",grouptype,groupuid
MANJUL SALES - BENGALARU,           38639.00,            9975.00,           28664.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3322058598
MANJULA PHARMA-AKLUJ-XX,          307002.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,          306502.00,Group,3311817857
MANKAL MEDICO - BELAPUR,          145801.00,            3545.00,           60535.00,           29382.00,           42819.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            9520.00,Group,3060847467
MANOJ DIST - BHAYANDER,           10395.00,           10395.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2134066311
MANOJ MEDICOS-AHILYANAGAR,           38812.00,               0.00,           38812.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1084498571
MANOJ PHARMA - MIRA ROAD,           53657.00,           53657.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1978570367
MANSEE MEDICAL-URLI KANCHAN-C/B,           26403.45,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           26403.45,Group,1362128234
MANSUKHLAL & BROTHERS-CHENNAI,           11025.00,           11025.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2172765357
MANTRA GENERICS (LLP) - PARVATI,         1032710.00,               0.00,          199118.00,          249331.00,          498713.00,           85548.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1870017245
MANVI LIFECARE-KANDIVLI,           48074.00,            6683.00,            8883.00,           32508.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,754921241
MARATHA MEDICAL - HINGOLI,           32892.00,            4999.00,           27893.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1806864420
MARATHWADA PHARMA - NANDED-XX,          212156.53,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          212156.53,Group,3477467110
MARATHWADA MED & DIST.LATUR-(AKUMS),           28168.20,               0.00,            1374.20,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           26794.00,Group,1647807250
MAREFAT AGENCIES - BHUSAWAL,           39478.00,           14118.00,           20351.00,               0.00,            5009.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1027473701
MARS LIFESCIENCE-MULUND(DIAPERS),          -60710.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           18590.00,               0.00,          -79300.00,               0.00,               0.00,               0.00,Group,3764937248
MARUDHAR DISTRIBUTORS - ANDHERI,           23153.00,               0.00,           23153.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3951227701
MARUTI - CHINCHWAD,           29354.00,           12008.00,           17346.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,570068132
MARUTI MEDICARE - PR STR,             735.00,             735.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,712953801
MARUTI MEDICO - KAMOTHE,           30108.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           30108.00,Group,2745539907
MARUTI MEDICAL-KHARGHAR(PANVEL)-XX,            1995.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1995.00,Group,3343105778
MATHADI (CN NO PAYMENT),           14214.00,               0.00,               0.00,           14214.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1428727943
MATHADI HOSPITAL-KOPERKHAIRANE,          979984.00,          323202.00,           36637.00,           10029.00,           47077.00,           13163.00,          546266.00,               0.00,            3610.00,               0.00,               0.00,               0.00,               0.00,Group,2715538215
MATHI ASSOCIATES - BHANDUP,          325814.00,          151726.00,          107942.00,           66146.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1269553199
MATOSHREE HEALTHCARE - CHIRA BAZAR,            6563.00,               0.00,               0.00,               0.00,               0.00,            6563.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,714023758
MATOSHREE AGENCIES - NASIK,           54416.00,           16128.00,               0.00,           38288.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3224179728
MATOSHREE DISTRIBUTORS-SHELPIMPALGAON,          361764.94,               0.00,          124896.94,               0.00,          -20325.00,               0.00,            1500.00,               0.00,          133601.00,          122092.00,               0.00,               0.00,               0.00,Group,2305399600
MATOSHREE PHARMA - PR STR (PINESH),           11655.00,           11655.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3970623809
MATOSHREE MEDICAL - LONAR-XX,           27886.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           27886.00,Group,3705342826
MATOSHREE (SUHAS) - CHAKAN XX,           29122.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29122.00,Group,794769149
MATOSHRI AGENCIES -AHILYANAGAR XX,          103603.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          103603.00,Group,522009541
MATOSHRI AGENCIES - OSMANABAD,           58436.00,               0.00,               0.00,               0.00,               0.00,               0.00,           40869.00,               0.00,            9752.00,            7815.00,               0.00,               0.00,               0.00,Group,25478574
MATOSHRI AGENCIES - MHASWAD (NEW),          411359.40,               0.00,           20068.40,               0.00,               0.00,               0.00,               0.00,               0.00,           64231.00,               0.00,               0.00,               0.00,          327060.00,Group,3669201707
MAULI AGENCY-KALYAN,          120555.00,           78401.00,               0.00,           42154.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,444913466
MAULI ENTERPRISES - PIMPLE GURAV,           23814.00,           10017.00,           13797.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3841207330
MAULI ENTERPRISES-RAJAPUR,            9128.00,               0.00,               0.00,            9128.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3130520754
MAULI ENTERPRISES-KALACHOWKI,            3108.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3108.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2285692143
MAULI MEDICAL - MURTIZAPUR,            6116.00,               0.00,            6116.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2727719415
MAULI MEDICAL - SHRIGONDA,           24991.00,               0.00,               0.00,              -6.00,           18603.00,               0.00,               0.00,               0.00,               0.00,            6394.00,               0.00,               0.00,               0.00,Group,2638044853
MAULI MEDICAL - SOLAPUR,           23628.00,               0.00,               0.00,           23628.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,461178651
MAULI MEDICAL - MAJALGAON XX,          179407.00,               0.00,             500.00,            1500.00,            1500.00,            1500.00,            3500.00,           98353.00,           23230.00,           25412.00,           23912.00,               0.00,               0.00,Group,4238983488
MAULI MEDICAL - AKKALKOT,           82610.00,               0.00,            4713.00,           16548.00,           34685.00,            4791.00,           21873.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2021122722
MAULI MEDICAL-KATOL-XX,          118284.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          118284.00,Group,2906798572
MAULI MEDICAL AGENCY - AKOLA,           22135.00,           14025.00,            8110.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1815548740
MAULI PHARMA - UMARKHED,          126930.00,           20649.00,           23124.00,           54970.00,           28187.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3974314375
MAULI PHARMA AGENCY -BRAMAHAPURI,           73596.00,           16550.00,           18174.00,           38872.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,622356653
MAULI SWAST AUSHADHI SEVA - BARAMATI,           36793.00,           26751.00,               0.00,           10042.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3596133439
MAX SUPER SPECIALITY - KANDIVALI,           62118.00,           29862.00,           32256.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,306315031
MAXKIND HEALTHACARE-KALHER,           86940.00,               0.00,               0.00,           86940.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1533792336
MAXWELL - GHATKOPAR,           21980.00,            6444.00,            9093.00,            6443.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,701970587
MAYA SALES - DHULE,           22373.00,           13781.00,            8592.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2201097024
MAYUR MEDICAL AGENCIES - PUNE,           22850.00,           22850.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,787635805
MAYUR SURGICAL - PALI-XX,           15354.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15354.00,Group,2033443844
MAYURESH PHARMA - JALGAON-XX,           29676.35,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29676.35,Group,528273170
MAYURI AGENCY - PANVEL,          107969.00,           22120.00,           41476.00,           44373.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,859568515
MAYUSH MEDICAL - PR STR,            3775.00,            3780.00,               0.00,              -5.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1525728831
MED SAVE BUDGET PHARMA - KERELA,           13234.00,           13234.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,382828308
MEDBAZZAR PHARMA-AHILYANAGAR -XX,           39767.65,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           39767.65,Group,1900877410
MEDBUN PHARMA-KARANJADE,            2179.00,            2179.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,401988312
MEDCITY PHARMA-WAGHOLI-LN,           48303.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           48303.00,Group,225460410
MEDEX PHARMACEUTICALS-THIRUVATTAR,          572748.75,          144113.00,               0.00,          327810.00,           14175.00,           81302.00,            5348.75,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2587829200
MEDEXO PHARMA - KANDIVALI,            3570.00,               0.00,               0.00,            3570.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1460159577
MEDFARM MEDICINE STORE -  WEST BENGAL,           22254.00,           22254.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3958894380
MEDGENIE PHARMA-KURLA(WEST)-LN -XX,          120730.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          120730.00,Group,954349074
MEDHUB PHARMACON- CHIKHALI,          918787.00,          260609.00,          341390.00,          316788.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3220456014
MEDI PLUS PHARMA-MALAD,          112809.00,           50704.00,           35572.00,           26533.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2573275991
MEDI-X PHARMA - SAMBHAJINAGAR,          117846.00,               0.00,               0.00,           52164.00,           26762.00,           38920.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2510434576
MEDIBRICKS PHARMA-CHANDRAPUR -XX-C/B-LN,           29754.73,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29754.73,Group,1158220381
MEDIC PHARMA - BHIWANDI,           22943.00,            5985.00,           16958.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1760552463
MEDICA PHARMA - KALYAN,           57296.00,           30776.00,               0.00,           19950.00,            6570.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3877470704
MEDICAL BANIYA LLP - CHEMBUR,            2816.00,            2816.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3551812265
MEDICARE PHARMA AGENCY - KURLA,            6678.00,               0.00,            6678.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2907109369
MEDICARE PHARMA - JALANDHAR,            5009.00,               0.00,               0.00,            5009.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1226826914
MEDICARE PHARMA - SION,            2520.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2520.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,233999474
MEDICART LIFECARE - TALEGAON,           83557.00,               0.00,               0.00,           12379.00,               0.00,               0.00,           71178.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3207113683
MEDICLIX PHARMA - MOSHI,           30713.00,           30713.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2125690727
MEDICO PHARMA-PUNE,            3780.00,            3780.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1954374647
MEDICO WARRIOR PHARMA - DOMBIVALI,           51561.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,            1500.00,            1500.00,               0.00,           48061.00,Group,315660189
MEDICON LIFECARE-BHYANDER-XX,            8205.20,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8205.20,Group,491168377
MEDICRAFT PHARMA - GHOTI BUDRUK(NASIK),           39968.00,               0.00,               0.00,           39968.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,103809166
MEDICURE PHARMACEUTICALS - KURLA,           81057.00,           41388.00,           32727.00,            6942.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2483164196
MEDIFIT AGENCIES LLP-LATUR,           49118.00,           24947.00,           10395.00,           11143.00,            2633.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2197003604
MEDIGEN PHARMA-ANDHERI,           20963.00,           13029.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4316.00,               0.00,               0.00,            1098.00,            2520.00,Group,1118853865
MEDIHOUSE - NASIK,          146411.00,           50393.00,           43618.00,           52400.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1901540698
MEDIHOUSE ENT - PIMPLE GURAV,          716092.00,          348223.00,          175382.00,           66635.00,          125852.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3669358910
MEDILIFE HEALTHCARE - KALYAN-XX,           18869.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           18869.00,Group,920492574
MEDILINE PHARMA - SINNAR,          255053.00,          103937.00,           93125.00,           57991.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1437586032
MEDILINE SYSTEMS SALES - MATUNGA    .,             519.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             519.00,               0.00,               0.00,Group,4004911695
MEDILINE SURGICALS - PUNE,            4725.00,               0.00,               0.00,            4725.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3754718269
MEDILINK PHARMACEUTICAL-PIMPALNER-XX,          214087.81,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          214087.81,Group,810406537
MEDION365 CORP - MANKHURD-LN,           93056.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           93056.00,Group,2406984846
MEDIPLUS PHARMA - CHEMBUR,          161746.00,           62161.00,               0.00,           99585.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3775274083
MEDIRAJ DISTRIBUTORS - PUNE,           57304.00,           17980.00,           39323.00,               0.00,               1.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,378996459
MEDITAB WORLWIDE-KANDIVALI,           12040.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           12040.00,Group,3373420389
MEDITRUST UNIVERSAL-MUMBAI-02,           16013.00,               0.00,           16013.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,783030566
MEDIWELL PHARMA-SAMBHAJINAGAR,          163979.25,               0.00,               0.00,               0.00,               0.00,           76095.00,               0.00,           26513.00,               0.00,            5629.00,            1688.00,               0.00,           54054.25,Group,4142670875
MEDLINE ENTERPRISES - LAKHANI,          274164.00,           79206.00,          100201.00,           60564.00,           34193.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1166564066
MEDLINK PHARMA - DOMBIVLI,           29360.00,           12553.00,               0.00,           16807.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,48314248
MEDPHARMA IMPLANT & SURGICAL-PARBHANI,           35215.00,               0.00,           11677.00,           23538.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,347470891
MEDWELL PHARMACEUTICALS - AHILYANAGAR,           25888.00,           25888.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3150351128
MEDX LIFECARE - KOPARKHAIRANE,          147456.00,           32333.00,           84650.00,           19404.00,           11069.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,410522549
MEET AGENCIES - ALIBAUG-XX,           19437.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1500.00,            2500.00,            2000.00,             500.00,               0.00,           12937.00,Group,2122222187
MEET AGENCIES- NASIK,           69995.00,           24220.00,           19818.00,           18939.00,            7018.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2752734130
MEHADIA TRADELINKS-GOREGAON,          284910.26,           31475.26,          206059.00,               0.00,               0.00,               0.00,           47376.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,701411423
MEHTA DISTRIBUTORS - GHANSOLI,            1500.00,               0.00,               0.00,               0.00,               0.00,            1500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4290679565
MEHTA DRUG HOUSE- KANDIVALI,           49827.00,           43634.00,               0.00,               0.00,           -1218.00,               0.00,            1589.00,            5822.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2649088561
METRO PHARMA - AMRAVATI,           35986.00,               0.00,           17993.00,           17993.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2118997826
MH PRAMOUNT PHARAM - SAMBHAJINAGAR-LN,          108885.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          108885.00,Group,364988981
MHAISAL GENERIC - MHAISAL,          107942.00,               0.00,           18731.00,           48647.00,           12120.00,           15810.00,           12634.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2901390247
MHALSA DIST-PIMPALGAON,          128763.00,           52977.00,               0.00,           39775.00,               0.00,           36011.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1675952842
MICROCARE PHARMA - WADALA,            7385.00,            7385.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1797381931
MIHIR ENT - GHATKOPAR,           21285.00,               0.00,            2961.00,            9408.00,            8916.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2478297928
MILAP DOSHI (ATMARPIT NEETABEN)XX,           31200.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           31200.00,Group,3521695914
MILES INTERNATIONAL,            -711.00,               0.00,               0.00,               0.00,            -711.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1298728874
MILTON GENERIC - PR STR,          237583.00,           59943.00,          174795.00,            2845.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,670729536
MILTON PHARMA LLP-BHIWANDI,           20475.00,               0.00,               0.00,           20475.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1598678799
MINI DISTRIBUTORS  - DOMBIVALI,            7513.85,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1277.85,               0.00,            6236.00,Group,935796063
MINI PHARMA - DOMBIVLI,            3771.00,               0.00,            3771.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,419486369
MINISTRY OF RAILWAYS - BHUSAWAL,            1769.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1769.00,               0.00,               0.00,Group,753839746
MINISTRY OF RAILWAYS - SOLAPUR,           92897.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           92897.00,               0.00,               0.00,Group,2667718699
MISHRI DIST-SAMBHAJINAGAR -LN,           45319.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           45319.00,Group,3402730700
MITRASEN MEDICARE - PAREL,           15750.00,               0.00,           15750.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,283451375
MJM PHARMA - PR STR,            3365.00,               0.00,               0.00,            3365.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2557907537
MM ENTERPRISE - BANDRA (DIAPER),           41606.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           41606.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4292327477
MODERN DRUG HOUSE-ELIPHSTONE,           16380.00,               0.00,               0.00,               0.00,               0.00,               0.00,           16380.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,407232301
MODI PHARMA - UDGIR,           31670.00,           31670.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,724581415
MOHIT MEDICO - MANCHAR,          323329.00,          112185.00,          107647.00,           61492.00,           42005.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,426120697
MOKSH PHARMA - AKOLA,           18295.00,               0.00,           18295.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1394961448
MORAYA PHARMA - DEHUGAOV,           23858.00,               0.00,               0.00,            3074.00,           20784.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4110391160
MORYA AGENCY-NALASOPARA-XX,          271086.45,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          271086.45,Group,3352906093
MORYA AGENCY - LATUR -ADV -XX,           17823.78,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17823.78,Group,2756870710
MORYA DISTRIBUTORS - MIRAJ -XX,           84634.00,               0.00,               0.00,               0.00,               0.00,               0.00,           -1568.00,               0.00,               0.00,               0.00,               0.00,               0.00,           86202.00,Group,3888987102
MORYA DISTRIBUTOR - KOLHAPUR,          103903.00,               0.00,               0.00,               0.00,           51723.00,               0.00,           28323.00,           23857.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,843340261
MORYA PHARMA - TALEGAON,          362422.00,           98592.00,          162576.00,           66667.00,           34587.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1812845612
MORYA PHARMA-CHINCHWAD-XX,          471833.88,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1000.00,          470833.88,Group,2708266123
MORYA SURGICAL - BARAMATI,           38136.00,            2187.00,           35949.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3352592022
MOTI MEDICAL - MALEGAON,           16438.00,               0.00,               0.00,           10165.00,            6273.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1327431992
MR PHARMACEUTICAL - SANTACRUZ,          400386.00,           80667.00,          145301.00,          121311.00,           51322.00,               0.00,            1785.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3812193015
MS DWARKA AGENCY - LOHGAON,           12118.00,           12118.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,80805559
MSK DIST - GOVANDI-LN,          165651.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          165651.00,Group,1864717897
MSP PHARMACEUTICALS - SANGLI,          457183.00,           78436.00,           36678.00,          229037.00,          113032.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1208250008
MUKTARAM MEDICAL AGENCY-WADSA -XX,          315199.27,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          315199.27,Group,389460552
MUKTARAM MEDICAL STORES-GONDIA-ELDER,           56144.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           56144.00,Group,2191943532
